file,miss,n,mean_gain
siax_uw_dw_092326.txt,MISS,19,0.20526315789473687
siax_uw_dw_092326.txt,PARRY,2,0.25
siax_uw_dw_092326.txt,DODGE,1,0.3
ryqenz_zomdaya_uw_dw_092326.txt,MISS,21,0.9
ryqenz_zomdaya_uw_dw_092326.txt,DODGE,4,2.375
ryqenz_zomdaya_uw_dw_092326.txt,PARRY,1,0.5
ryqenz_zomdaya_uw_2h_092326.txt,DODGE,4,0.3
ryqenz_zomdaya_uw_2h_092326.txt,PARRY,6,0.2833333333333333
ryqenz_zomdaya_uw_2h_092326.txt,MISS,4,2.3
tarch_uw1_dw_092326.txt,MISS,14,0.9714285714285713
tarch_uw1_dw_092326.txt,PARRY,4,0.5
tarch_uw1_2h_092326.txt,PARRY,6,0.4333333333333333
tarch_uw1_2h_092326.txt,MISS,1,0.5
tarch_uw1_2h_092326.txt,DODGE,2,0.3
tarch_uw2_dw_092326.txt,MISS,9,1.7
tarch_uw2_dw_092326.txt,PARRY,7,0.38571428571428573
tarch_uw2_dw_092326.txt,DODGE,3,4.3
tarch_uw2_2h_092326.txt,PARRY,4,0.425
tarch_uw2_2h_092326.txt,MISS,1,0.4
tarch_uw2_2h_092326.txt,DODGE,1,0.5
tarch_uw3_dw_092326.txt,PARRY,10,1.2
tarch_uw3_dw_092326.txt,MISS,16,0.3875
tarch_uw3_2h_092326.txt,PARRY,6,2.35
tarch_uw4_dw_092326.txt,MISS,18,0.8555555555555555
tarch_uw4_dw_092326.txt,PARRY,4,0.45
tarch_uw4_dw_092326.txt,DODGE,3,0.4
tarch_uw4_dw_092326.txt,ABSORB,1,0.4
tarch_uw4_2h_092326.txt,PARRY,2,0.5
tarch_uw4_2h_092326.txt,DODGE,2,0.45
tarch_uw4_2h_092326.txt,MISS,1,0.3
budder_uw1_2h_092326.txt,MISS,6,0.2833333333333333
budder_uw1_2h_092326.txt,DODGE,3,0.5333333333333333
budder_uw1_2h_092326.txt,PARRY,4,0.275
budder_uw2_2h_092326.txt,PARRY,4,0.3
budder_uw2_2h_092326.txt,MISS,3,4.333333333333334
budder_uw2_2h_092326.txt,DODGE,3,0.3
ceece_fishliver_1h_092226.txt,DODGE,2,0.35
ceece_fishliver_1h_092226.txt,MISS,1,0.4
ceece_fishliver_1h_092226.txt,PARRY,1,0.4
ceece_fishliver_2h_092426.txt,PARRY,2,0.3
elvenfresh_hasterage_berserking_1h_092426.txt,PARRY,1,0.7
